Character,Rarity,Class,Archetype,Promotion,HP,Attack,Defense,Magic Res,Cost,Atk Interval,Block,Auto dps Pts,dps/Cost
Ceobe,6,Caster,ST Caster,E01,657,302,48,10,19,1.6,1,189,10
Ceobe,6,Caster,ST Caster,E11,939,420,82,15,21,1.6,1,263,13
Ceobe,6,Caster,ST Caster,E21,1220,553,114,20,21,1.6,1,346,16
Ceobe,6,Caster,ST Caster,E230,1332,590,119,20,21,1.6,1,369,18
Ceobe,6,Caster,ST Caster,E2M,2034,703,152,10,13,1.3,1,541,42
Eyjafjalla,6,Caster,ST Caster,E01,732,292,46,10,19,1.6,1,183,10
Eyjafjalla,6,Caster,ST Caster,E11,1046,406,79,15,21,1.6,1,254,12
Eyjafjalla,6,Caster,ST Caster,E21,1359,535,109,20,21,1.6,1,334,16
Eyjafjalla,6,Caster,ST Caster,E230,1484,571,113,20,21,1.6,1,357,17
Eyjafjalla,6,Caster,ST Caster,E1M,1080,365,134,0,11,1,1,365,33
Ifrit,6,Caster,AoE Caster,E01,687,377,52,10,31,2.9,1,130,4
Ifrit,6,Caster,AoE Caster,E11,982,563,79,15,34,2.9,1,194,6
Ifrit,6,Caster,AoE Caster,E21,1276,722,109,20,34,2.9,1,249,7
Ifrit,6,Caster,AoE Caster,E230,1408,770,116,20,34,2.9,1,266,8
Ifrit,6,Caster,AoE Caster,E2M,1595,977,122,0,20,2.7,1,362,18
Mostima,6,Caster,AoE Caster,E01,777,348,52,10,31,2.9,1,120,4
Mostima,6,Caster,AoE Caster,E11,1080,491,80,15,34,2.9,1,169,5
Mostima,6,Caster,AoE Caster,E21,1350,630,110,20,34,2.9,1,217,6
Mostima,6,Caster,AoE Caster,E230,1474,669,117,20,34,2.9,1,231,7
Mostima,6,Caster,AoE Caster,E2M,1198,514,110,15,20,1.6,1,321,16
Amiya,5,Caster,ST Caster,E01,699,276,48,10,18,1.6,1,173,10
Amiya,5,Caster,ST Caster,E11,958,390,81,15,20,1.6,1,244,12
Amiya,5,Caster,ST Caster,E21,958,390,81,15,20,1.6,1,244,12
Amiya,5,Caster,ST Caster,E230,1059,442,93,15,20,1.6,1,276,14
Amiya,5,Caster,ST Caster,E2M,1385,542,120,25,16,1.9,1,285,18
Lieze,5,Caster,ST Caster,E01,590,266,47,10,29,2.3,1,116,4
Lieze,5,Caster,ST Caster,E11,843,370,72,15,32,2.3,1,161,5
Lieze,5,Caster,ST Caster,E21,1096,475,99,20,32,2.3,1,207,6
Lieze,5,Caster,ST Caster,E230,1223,511,106,20,32,2.3,1,222,7
Lieze,5,Caster,ST Caster,E1M,1135,362,109,0,17,2.85,1,127,7
Nightmare,5,Caster,ST Caster,E01,658,281,45,10,18,1.6,1,176,10
Nightmare,5,Caster,ST Caster,E11,941,396,77,15,20,1.6,1,248,12
Nightmare,5,Caster,ST Caster,E21,1223,522,107,20,20,1.6,1,326,16
Nightmare,5,Caster,ST Caster,E230,1328,559,112,20,20,1.6,1,349,17
Nightmare,5,Caster,ST Caster,E2M,2523,660,393,15,21,1.25,1,528,25
Skyfire,5,Caster,AoE Caster,E01,686,332,48,10,30,2.9,1,114,4
Skyfire,5,Caster,AoE Caster,E11,954,468,74,15,33,2.9,1,161,5
Skyfire,5,Caster,AoE Caster,E21,1193,600,102,20,33,2.9,1,207,6
Skyfire,5,Caster,AoE Caster,E230,1317,642,109,20,33,2.9,1,221,7
AVERAGE,,,,,1140,494,99,,,2.11,,252,12
Gitano,4,Caster,AoE Caster,E01,622,303,47,10,29,2.9,1,104,4
Gitano,4,Caster,AoE Caster,E11,889,428,72,15,32,2.9,1,148,5
Gitano,4,Caster,AoE Caster,E21,1155,549,99,20,32,2.9,1,189,6
Gitano,4,Caster,AoE Caster,E230,1308,593,107,20,32,2.9,1,204,6
Gitano,4,Caster,AoE Caster,E2M,2484,586,382,0,13,1,1,586,45
Greyy,4,Caster,AoE Caster,E01,595,298,52,10,29,2.9,1,103,4
Greyy,4,Caster,AoE Caster,E11,850,421,79,15,32,2.9,1,145,5
Greyy,4,Caster,AoE Caster,E21,1105,541,109,20,32,2.9,1,187,6
